obs_id,train_id,age,sex,length,diameter,height,total_weight,shucked_weight,viscera_weight,sheel_weight
id_002188,test,NA,M,0.495,0.385,0.135,0.6335,0.2,0.1225,0.26
id_002189,train,13.5,M,0.47,0.37,0.135,0.547,0.222,0.1325,0.17
id_002190,valid,11.5,F,0.49,0.37,0.14,0.585,0.243,0.115,0.195
id_002191,train,12.5,M,0.58,0.47,0.165,0.927,0.3215,0.1985,0.315
id_002192,train,16.5,M,0.645,0.495,0.185,1.4935,0.5265,0.2785,0.455
id_002193,train,15.5,F,0.575,0.485,0.165,1.0405,0.419,0.264,0.3
id_002194,train,7.5,I,0.215,0.17,0.055,0.0605,0.0205,0.014,0.02
id_002195,valid,14.5,I,0.43,0.325,0.11,0.3675,0.1355,0.0935,0.12
id_002196,valid,6.5,I,0.26,0.215,0.08,0.099,0.037,0.0255,0.045
id_002197,test,NA,I,0.37,0.28,0.09,0.233,0.0905,0.0545,0.07
id_002198,train,11.5,I,0.405,0.305,0.105,0.3625,0.1565,0.0705,0.125
id_002199,train,7.5,I,0.27,0.19,0.08,0.081,0.0265,0.0195,0.03
id_002200,train,22.5,F,0.68,0.55,0.2,1.596,0.525,0.4075,0.585
id_002201,valid,14.5,F,0.65,0.515,0.195,1.4005,0.5195,0.36,0.44
id_002202,train,26.5,F,0.645,0.49,0.215,1.406,0.4265,0.2285,0.51
id_002203,train,20.5,M,0.57,0.405,0.16,0.9245,0.3445,0.2185,0.295
id_002204,train,19.5,M,0.615,0.48,0.19,1.36,0.5305,0.2375,0.47
id_002205,train,8.5,M,0.42,0.345,0.105,0.43,0.175,0.096,0.13
id_002206,test,NA,I,0.275,0.22,0.08,0.1365,0.0565,0.0285,0.042
id_002207,train,6.5,F,0.29,0.225,0.075,0.14,0.0515,0.0235,0.04
id_002208,train,9.5,M,0.42,0.34,0.115,0.4215,0.175,0.093,0.135
id_002209,train,17.5,F,0.625,0.525,0.215,1.5765,0.5115,0.2595,0.665
id_002210,valid,28.5,F,0.55,0.465,0.18,1.2125,0.3245,0.205,0.525
id_002211,test,NA,M,0.66,0.505,0.2,1.6305,0.4865,0.297,0.61
id_002212,train,18.5,M,0.565,0.47,0.195,1.142,0.387,0.258,0.35
id_002213,valid,14.5,F,0.595,0.495,0.235,1.366,0.5065,0.219,0.52
id_002214,train,18.5,M,0.63,0.51,0.23,1.539,0.5635,0.2815,0.57
id_002215,train,9.5,F,0.43,0.325,0.12,0.445,0.165,0.0995,0.155
id_002216,train,11.5,F,0.455,0.35,0.14,0.5725,0.1965,0.1325,0.175
id_002217,train,8.5,I,0.33,0.26,0.08,0.19,0.0765,0.0385,0.065
id_002218,train,14.5,F,0.515,0.415,0.13,0.764,0.276,0.196,0.25
id_002219,test,NA,M,0.495,0.39,0.15,0.853,0.3285,0.189,0.27
id_002220,train,14.5,F,0.485,0.375,0.145,0.5885,0.2385,0.1155,0.19
id_002221,train,9.5,F,0.535,0.46,0.145,0.7875,0.3395,0.2005,0.2
id_002222,train,18.5,M,0.58,0.465,0.175,1.035,0.401,0.1865,0.385
id_002223,train,14.5,F,0.625,0.525,0.195,1.352,0.4505,0.2445,0.53
id_002224,valid,15.5,F,0.555,0.455,0.18,0.958,0.296,0.195,0.39
id_002225,train,10.5,F,0.55,0.425,0.145,0.797,0.297,0.15,0.265
id_002226,valid,14.5,M,0.59,0.475,0.155,0.857,0.356,0.174,0.28
id_002227,test,NA,I,0.355,0.28,0.11,0.2235,0.0815,0.0525,0.08
id_002228,train,8.5,I,0.275,0.2,0.075,0.086,0.0305,0.019,0.03
id_002229,train,13.5,F,0.505,0.39,0.175,0.692,0.267,0.15,0.215
id_002230,train,8.5,M,0.37,0.28,0.095,0.2225,0.0805,0.051,0.075
id_002231,test,NA,M,0.555,0.43,0.165,0.7575,0.2735,0.1635,0.275
id_002232,train,10.5,F,0.505,0.4,0.165,0.729,0.2675,0.155,0.25
id_002233,train,10.5,F,0.56,0.445,0.18,0.903,0.3575,0.2045,0.295
id_002234,train,18.5,M,0.595,0.475,0.17,1.0965,0.419,0.229,0.35
id_002235,train,15.5,F,0.57,0.45,0.165,0.903,0.3305,0.1845,0.295
id_002236,valid,14.5,M,0.6,0.48,0.175,1.229,0.4125,0.2735,0.415
id_002237,train,16.5,F,0.56,0.435,0.185,1.106,0.422,0.2435,0.33
id_002238,test,NA,M,0.585,0.465,0.19,1.171,0.3905,0.2355,0.4
id_002239,test,NA,I,0.46,0.335,0.11,0.444,0.225,0.0745,0.11
id_002240,valid,9.5,F,0.46,0.36,0.115,0.4755,0.2105,0.105,0.16
id_002241,train,13.5,M,0.415,0.315,0.125,0.388,0.068,0.09,0.125
id_002242,train,12.5,F,0.435,0.32,0.12,0.3785,0.152,0.0915,0.125
id_002243,train,8.5,F,0.475,0.38,0.135,0.486,0.1735,0.07,0.185
id_002244,valid,11.5,M,0.465,0.36,0.13,0.5265,0.2105,0.1185,0.165
id_002245,train,12.5,I,0.355,0.28,0.1,0.2275,0.0935,0.0455,0.085
id_002246,valid,10.5,M,0.46,0.375,0.14,0.5105,0.192,0.1045,0.205
id_002247,valid,11.5,F,0.38,0.325,0.11,0.3105,0.12,0.074,0.105
id_002248,train,10.5,F,0.47,0.365,0.12,0.543,0.2295,0.1495,0.15
id_002249,train,7.5,M,0.36,0.27,0.09,0.2225,0.083,0.053,0.075
id_002250,test,NA,F,0.585,0.455,0.165,0.998,0.345,0.2495,0.315
id_002251,train,12.5,M,0.655,0.59,0.2,1.5455,0.654,0.3765,0.415
id_002252,train,14.5,M,0.6,0.485,0.175,1.2675,0.4995,0.2815,0.38
id_002253,train,15.5,F,0.57,0.46,0.17,1.1,0.4125,0.2205,0.38
id_002254,test,NA,F,0.645,0.5,0.2,1.4285,0.639,0.305,0.36
id_002255,test,NA,M,0.65,0.495,0.18,1.793,0.8005,0.339,0.53
id_002256,valid,13.5,M,0.51,0.395,0.145,0.6185,0.216,0.1385,0.24
id_002257,test,NA,M,0.52,0.38,0.135,0.5825,0.2505,0.1565,0.175
id_002258,train,14.5,M,0.495,0.415,0.165,0.7485,0.264,0.134,0.285
id_002259,train,9.5,M,0.43,0.335,0.115,0.406,0.166,0.0935,0.135
id_002260,train,14.5,F,0.59,0.465,0.16,1.1005,0.506,0.2525,0.295
id_002261,valid,11.5,M,0.55,0.46,0.175,0.869,0.3155,0.1825,0.32
id_002262,train,12.5,M,0.585,0.43,0.16,0.955,0.3625,0.176,0.27
id_002263,train,18.5,F,0.58,0.455,0.16,0.9215,0.312,0.196,0.3
id_002264,train,14.5,F,0.62,0.51,0.15,1.456,0.581,0.2875,0.32
id_002265,train,15.5,I,0.59,0.45,0.16,0.893,0.2745,0.2185,0.345
id_002266,train,14.5,F,0.72,0.575,0.215,2.226,0.8955,0.405,0.62
id_002267,test,NA,F,0.635,0.51,0.175,1.2125,0.5735,0.261,0.36
id_002268,test,NA,F,0.61,0.48,0.175,1.0675,0.391,0.216,0.42
id_002269,train,14.5,F,0.545,0.445,0.175,0.8525,0.3465,0.189,0.295
id_002270,train,13.5,M,0.57,0.45,0.16,0.8615,0.3725,0.2175,0.255
id_002271,valid,19.5,F,0.6,0.475,0.18,1.162,0.511,0.2675,0.32
id_002272,train,15.5,F,0.52,0.41,0.17,0.8705,0.3735,0.219,0.25
id_002273,valid,16.5,M,0.635,0.51,0.21,1.598,0.6535,0.2835,0.58
id_002274,train,14.5,F,0.67,0.52,0.15,1.406,0.519,0.348,0.37
id_002275,train,16.5,M,0.695,0.57,0.2,2.033,0.751,0.4255,0.685
id_002276,train,21.5,M,0.655,0.525,0.185,1.259,0.487,0.2215,0.445
id_002277,valid,15.5,F,0.62,0.48,0.23,1.0935,0.403,0.245,0.355
id_002278,train,20.5,F,0.6,0.475,0.18,1.1805,0.4345,0.2475,0.425
id_002279,test,NA,M,0.51,0.405,0.13,0.7175,0.3725,0.158,0.17
id_002280,train,11.5,M,0.525,0.405,0.135,0.7575,0.3305,0.216,0.195
id_002281,valid,10.5,M,0.44,0.375,0.13,0.487,0.226,0.0965,0.155
id_002282,train,9.5,I,0.485,0.415,0.14,0.5705,0.25,0.134,0.185
id_002283,test,NA,F,0.495,0.385,0.13,0.6905,0.3125,0.179,0.175
id_002284,valid,8.5,I,0.435,0.345,0.12,0.4475,0.221,0.112,0.125
id_002285,train,10.5,I,0.405,0.315,0.105,0.347,0.1605,0.0785,0.1
id_002286,train,10.5,I,0.42,0.33,0.1,0.352,0.1635,0.089,0.1
id_002287,train,10.5,F,0.5,0.395,0.15,0.7145,0.3235,0.173,0.195
id_002288,train,8.5,F,0.385,0.305,0.105,0.3315,0.1365,0.0745,0.1
id_002289,train,7.5,I,0.33,0.265,0.09,0.18,0.068,0.036,0.06
id_002290,valid,11.5,F,0.58,0.475,0.155,0.974,0.4305,0.23,0.285
id_002291,train,7.5,I,0.325,0.27,0.1,0.185,0.08,0.0435,0.065
id_002292,train,11.5,M,0.475,0.375,0.12,0.563,0.2525,0.1205,0.185
id_002293,train,10.5,F,0.38,0.3,0.09,0.3215,0.1545,0.075,0.095
id_002294,test,NA,I,0.34,0.26,0.09,0.179,0.076,0.0525,0.055
id_002295,train,13.5,M,0.525,0.425,0.12,0.702,0.3335,0.1465,0.22
id_002296,train,11.5,F,0.52,0.415,0.145,0.8045,0.3325,0.1725,0.285
id_002297,test,NA,F,0.535,0.45,0.135,0.8075,0.322,0.181,0.25
id_002298,valid,9.5,M,0.475,0.36,0.12,0.578,0.2825,0.12,0.17
id_002299,test,NA,I,0.415,0.325,0.1,0.385,0.167,0.08,0.125
id_002300,test,NA,I,0.495,0.385,0.125,0.585,0.2755,0.1235,0.165
id_002301,train,11.5,F,0.48,0.405,0.13,0.6375,0.277,0.1445,0.21
id_002302,valid,11.5,F,0.52,0.425,0.15,0.813,0.385,0.2015,0.23
id_002303,train,10.5,M,0.46,0.375,0.13,0.5735,0.2505,0.119,0.195
id_002304,train,12.5,F,0.58,0.455,0.12,0.94,0.399,0.257,0.265
id_002305,train,12.5,M,0.59,0.49,0.135,1.008,0.422,0.2245,0.285
id_002306,train,24.5,F,0.55,0.415,0.135,0.775,0.302,0.179,0.26
id_002307,train,13.5,F,0.65,0.5,0.165,1.1445,0.485,0.218,0.365
id_002308,train,17.5,F,0.465,0.375,0.135,0.6,0.2225,0.129,0.23
id_002309,train,12.5,M,0.455,0.355,0.13,0.515,0.2,0.1275,0.175
id_002310,valid,14.5,M,0.47,0.375,0.13,0.5795,0.2145,0.164,0.195
id_002311,train,14.5,F,0.435,0.35,0.11,0.384,0.143,0.1005,0.125
id_002312,test,NA,M,0.35,0.265,0.11,0.2965,0.1365,0.063,0.085
id_002313,train,9.5,I,0.315,0.24,0.07,0.137,0.0545,0.0315,0.04
id_002314,train,17.5,M,0.595,0.47,0.145,0.991,0.4035,0.1505,0.34
id_002315,test,NA,F,0.58,0.475,0.135,0.925,0.391,0.165,0.275
id_002316,valid,18.5,M,0.575,0.435,0.15,0.805,0.293,0.1625,0.27
id_002317,train,14.5,M,0.535,0.435,0.155,0.8915,0.3415,0.177,0.25
id_002318,valid,14.5,M,0.515,0.42,0.14,0.769,0.2505,0.154,0.29
id_002319,train,13.5,F,0.505,0.385,0.135,0.6185,0.251,0.1175,0.2
id_002320,test,NA,F,0.505,0.395,0.145,0.6515,0.2695,0.153,0.205
id_002321,train,11.5,I,0.4,0.31,0.1,0.2875,0.1145,0.0635,0.095
id_002322,valid,15.5,M,0.49,0.395,0.135,0.5545,0.213,0.0925,0.215
id_002323,valid,13.5,M,0.53,0.435,0.135,0.7365,0.3275,0.1315,0.22
id_002324,train,9.5,I,0.395,0.325,0.105,0.306,0.111,0.0735,0.095
id_002325,train,18.5,F,0.665,0.535,0.19,1.496,0.5775,0.2815,0.475
id_002326,train,11.5,F,0.415,0.305,0.105,0.3605,0.12,0.082,0.1
id_002327,valid,12.5,M,0.43,0.345,0.115,0.3045,0.0925,0.055,0.12
id_002328,valid,14.5,M,0.475,0.395,0.135,0.592,0.2465,0.1645,0.2
id_002329,valid,16.5,F,0.525,0.425,0.145,0.7995,0.3345,0.209,0.24
id_002330,train,16.5,I,0.48,0.39,0.145,0.5825,0.2315,0.121,0.255
id_002331,test,NA,I,0.42,0.345,0.115,0.3435,0.1515,0.0795,0.115
id_002332,valid,16.5,M,0.59,0.46,0.155,0.906,0.327,0.1485,0.335
id_002333,train,10.5,F,0.515,0.42,0.135,0.6295,0.2815,0.127,0.215
id_002334,train,14.5,M,0.695,0.55,0.22,1.5515,0.566,0.3835,0.445
id_002335,train,24.5,F,0.8,0.63,0.195,2.526,0.933,0.59,0.62
id_002336,valid,24.5,M,0.61,0.49,0.15,1.103,0.425,0.2025,0.36
id_002337,test,NA,F,0.565,0.48,0.175,0.957,0.3885,0.215,0.275
id_002338,train,12.5,M,0.56,0.455,0.165,0.86,0.4015,0.1695,0.245
id_002339,test,NA,M,0.655,0.485,0.195,1.62,0.6275,0.358,0.485
id_002340,valid,18.5,M,0.64,0.52,0.2,1.407,0.566,0.304,0.455
id_002341,train,12.5,F,0.59,0.47,0.17,0.9,0.355,0.1905,0.25
id_002342,train,8.5,I,0.31,0.24,0.09,0.1455,0.0605,0.0315,0.045
id_002343,train,7.5,I,0.255,0.185,0.07,0.075,0.028,0.018,0.025
id_002344,train,7.5,I,0.17,0.125,0.055,0.0235,0.009,0.0055,0.008
id_002345,valid,22.5,M,0.67,0.55,0.17,1.247,0.472,0.2455,0.4
id_002346,valid,18.5,F,0.71,0.565,0.195,1.7265,0.638,0.3365,0.565
id_002347,test,NA,F,0.56,0.43,0.125,0.8025,0.313,0.1715,0.263
id_002348,train,12.5,M,0.505,0.4,0.13,0.764,0.3035,0.189,0.2175
id_002349,train,17.5,M,0.525,0.43,0.165,0.8645,0.376,0.1945,0.2515
id_002350,valid,10.5,F,0.45,0.36,0.105,0.4715,0.2035,0.0935,0.149
id_002351,test,NA,F,0.515,0.435,0.17,0.631,0.2765,0.111,0.216
id_002352,valid,20.5,M,0.59,0.475,0.16,0.9455,0.3815,0.184,0.27
id_002353,test,NA,M,0.7,0.53,0.19,1.3185,0.548,0.233,0.42
id_002354,train,18.5,F,0.72,0.56,0.175,1.7265,0.637,0.3415,0.525
id_002355,train,12.5,M,0.635,0.495,0.15,1.081,0.4825,0.242,0.31
id_002356,train,14.5,M,0.555,0.44,0.135,0.9025,0.3805,0.2105,0.28
id_002357,test,NA,M,0.575,0.47,0.15,1.1415,0.4515,0.204,0.4
id_002358,test,NA,M,0.585,0.455,0.125,1.027,0.391,0.212,0.25
id_002359,test,NA,F,0.61,0.485,0.21,1.3445,0.535,0.2205,0.515
id_002360,valid,14.5,F,0.645,0.525,0.2,1.449,0.601,0.2565,0.505
id_002361,test,NA,F,0.545,0.44,0.175,0.7745,0.2985,0.1875,0.265
id_002362,train,13.5,M,0.55,0.45,0.155,0.7895,0.343,0.159,0.25
id_002363,test,NA,F,0.66,0.525,0.205,1.3665,0.5005,0.291,0.41
id_002364,train,19.5,M,0.57,0.475,0.195,1.0295,0.4635,0.1905,0.305
id_002365,valid,16.5,F,0.6,0.47,0.2,1.031,0.392,0.2035,0.29
id_002366,train,13.5,F,0.63,0.505,0.165,1.065,0.4595,0.216,0.315
id_002367,train,20.5,M,0.695,0.57,0.23,1.885,0.8665,0.435,0.5
id_002368,train,16.5,M,0.65,0.545,0.16,1.2425,0.487,0.296,0.48
id_002369,train,17.5,F,0.72,0.595,0.225,1.969,0.8045,0.423,0.66
id_002370,train,13.5,I,0.56,0.44,0.17,0.9445,0.3545,0.2175,0.3
id_002371,train,9.5,I,0.42,0.325,0.115,0.354,0.1625,0.064,0.105
id_002372,train,4.5,M,0.18,0.125,0.05,0.023,0.0085,0.0055,0.01
id_002373,train,13.5,F,0.405,0.325,0.11,0.3575,0.145,0.0725,0.11
id_002374,train,13.5,F,0.5,0.405,0.15,0.5965,0.253,0.126,0.185
id_002375,train,13.5,I,0.435,0.335,0.11,0.383,0.1555,0.0675,0.135
id_002376,train,11.5,M,0.34,0.275,0.09,0.2065,0.0725,0.043,0.07
id_002377,valid,9.5,F,0.43,0.34,0.11,0.382,0.154,0.0955,0.109
id_002378,valid,13.5,I,0.535,0.41,0.155,0.6315,0.2745,0.1415,0.1815
id_002379,valid,13.5,I,0.415,0.325,0.115,0.3285,0.1405,0.051,0.106
id_002380,test,NA,F,0.36,0.265,0.09,0.2165,0.096,0.037,0.0735
id_002381,test,NA,M,0.175,0.135,0.04,0.0305,0.011,0.0075,0.01
id_002382,valid,6.5,M,0.155,0.115,0.025,0.024,0.009,0.005,0.0075
id_002383,valid,12.5,I,0.525,0.43,0.15,0.7365,0.3225,0.161,0.215
id_002384,train,17.5,F,0.525,0.39,0.135,0.6005,0.2265,0.131,0.21
id_002385,train,12.5,F,0.44,0.345,0.105,0.4285,0.165,0.083,0.132
id_002386,test,NA,F,0.45,0.345,0.115,0.496,0.1905,0.117,0.14
id_002387,train,15.5,F,0.485,0.365,0.14,0.6195,0.2595,0.1445,0.177
id_002388,valid,12.5,I,0.47,0.35,0.135,0.567,0.2315,0.1465,0.1525
id_002389,train,11.5,I,0.515,0.375,0.14,0.6505,0.2495,0.141,0.2215
id_002390,train,12.5,M,0.42,0.34,0.125,0.4495,0.165,0.1125,0.144
id_002391,train,17.5,F,0.455,0.35,0.125,0.4485,0.1585,0.102,0.1335
id_002392,train,11.5,M,0.37,0.29,0.09,0.241,0.11,0.045,0.069
id_002393,train,11.5,M,0.33,0.25,0.09,0.197,0.085,0.041,0.0605
id_002394,test,NA,I,0.3,0.22,0.09,0.1425,0.057,0.0335,0.043
id_002395,train,15.5,I,0.625,0.46,0.16,1.2395,0.55,0.273,0.38
id_002396,test,NA,I,0.61,0.475,0.17,1.0385,0.4435,0.241,0.32
id_002397,train,15.5,I,0.625,0.465,0.155,0.972,0.404,0.1845,0.35
id_002398,train,18.5,I,0.635,0.505,0.19,1.3315,0.5805,0.252,0.435
id_002399,train,15.5,I,0.5,0.385,0.155,0.762,0.3795,0.161,0.19
id_002400,valid,18.5,F,0.53,0.43,0.17,0.775,0.35,0.152,0.235
id_002401,test,NA,I,0.445,0.33,0.1,0.437,0.163,0.0755,0.17
id_002402,train,13.5,F,0.585,0.415,0.155,0.6985,0.3,0.146,0.195
id_002403,valid,17.5,I,0.44,0.355,0.165,0.435,0.159,0.105,0.14
id_002404,test,NA,M,0.29,0.225,0.08,0.1295,0.0535,0.026,0.045
id_002405,test,NA,I,0.555,0.455,0.17,0.8435,0.309,0.1905,0.3
id_002406,test,NA,I,0.655,0.515,0.145,1.25,0.5265,0.283,0.315
id_002407,valid,11.5,F,0.58,0.46,0.185,1.017,0.3515,0.2,0.32
id_002408,train,13.5,I,0.625,0.43,0.175,1.411,0.572,0.297,0.395
id_002409,train,16.5,I,0.62,0.485,0.17,1.208,0.4805,0.3045,0.33
id_002410,train,9.5,F,0.64,0.5,0.15,1.0705,0.371,0.2705,0.36
id_002411,test,NA,F,0.505,0.375,0.115,0.5895,0.2635,0.12,0.167
id_002412,test,NA,I,0.5,0.395,0.12,0.537,0.2165,0.1085,0.1785
id_002413,test,NA,M,0.31,0.245,0.095,0.15,0.0525,0.034,0.048
id_002414,test,NA,F,0.505,0.38,0.145,0.651,0.2935,0.19,0.17
id_002415,valid,10.5,I,0.42,0.305,0.11,0.28,0.094,0.0785,0.0955
id_002416,train,11.5,M,0.4,0.315,0.105,0.287,0.1135,0.037,0.113
id_002417,test,NA,M,0.425,0.315,0.125,0.3525,0.1135,0.0565,0.13
id_002418,train,12.5,M,0.31,0.235,0.06,0.12,0.0415,0.033,0.04
id_002419,train,19.5,F,0.465,0.35,0.13,0.494,0.1945,0.103,0.155
id_002420,train,11.5,F,0.465,0.36,0.12,0.4765,0.192,0.1125,0.16
id_002421,train,14.5,M,0.35,0.255,0.085,0.2145,0.1,0.0465,0.06
id_002422,valid,16.5,I,0.52,0.415,0.16,0.595,0.2105,0.142,0.26
id_002423,test,NA,F,0.475,0.365,0.13,0.4805,0.1905,0.114,0.1475
id_002424,train,11.5,F,0.41,0.315,0.11,0.321,0.1255,0.0655,0.095
id_002425,train,7.5,M,0.26,0.2,0.065,0.096,0.044,0.027,0.03
id_002426,test,NA,I,0.575,0.45,0.17,0.9315,0.358,0.2145,0.26
id_002427,valid,15.5,I,0.565,0.435,0.155,0.782,0.2715,0.168,0.285
id_002428,train,7.5,M,0.26,0.19,0.075,0.0945,0.0445,0.02,0.03
id_002429,valid,11.5,F,0.53,0.385,0.125,0.6695,0.289,0.151,0.18
id_002430,valid,10.5,M,0.34,0.255,0.095,0.213,0.081,0.034,0.07
id_002431,train,12.5,I,0.52,0.38,0.14,0.525,0.1775,0.115,0.185
id_002432,train,19.5,F,0.635,0.5,0.18,1.312,0.529,0.2485,0.485
id_002433,train,12.5,F,0.61,0.485,0.165,1.087,0.4255,0.232,0.38
id_002434,test,NA,F,0.66,0.515,0.18,1.523,0.54,0.3365,0.555
id_002435,train,17.5,I,0.635,0.5,0.18,1.319,0.5485,0.292,0.49
id_002436,train,15.5,F,0.465,0.38,0.135,0.579,0.208,0.1095,0.22
id_002437,train,24.5,M,0.515,0.4,0.16,0.8175,0.2515,0.156,0.3
id_002438,train,10.5,I,0.335,0.24,0.095,0.17,0.062,0.039,0.055
id_002439,train,17.5,F,0.515,0.4,0.17,0.796,0.258,0.1755,0.28
id_002440,train,10.5,F,0.345,0.255,0.1,0.197,0.071,0.051,0.06
id_002441,valid,14.5,M,0.465,0.355,0.125,0.5255,0.2025,0.135,0.145
id_002442,train,11.5,M,0.54,0.415,0.17,0.879,0.339,0.208,0.255
id_002443,train,10.5,M,0.475,0.355,0.125,0.4625,0.186,0.107,0.145
id_002444,test,NA,F,0.445,0.335,0.14,0.4565,0.1785,0.114,0.14
id_002445,test,NA,M,0.5,0.355,0.14,0.528,0.2125,0.149,0.14
id_002446,train,13.5,M,0.5,0.38,0.135,0.5835,0.2295,0.1265,0.18
id_002447,train,15.5,F,0.55,0.435,0.17,0.884,0.2875,0.1645,0.28
id_002448,train,7.5,I,0.275,0.205,0.08,0.096,0.036,0.0185,0.03
id_002449,train,8.5,F,0.35,0.265,0.09,0.1855,0.0745,0.0415,0.06
id_002450,train,10.5,F,0.37,0.285,0.105,0.27,0.1125,0.0585,0.0835
id_002451,test,NA,F,0.42,0.33,0.125,0.463,0.186,0.11,0.145
id_002452,train,11.5,M,0.35,0.26,0.09,0.198,0.0725,0.056,0.06
id_002453,train,10.5,M,0.395,0.305,0.105,0.282,0.0975,0.065,0.096
id_002454,train,9.5,I,0.325,0.2,0.08,0.0995,0.0395,0.0225,0.032
id_002455,test,NA,I,0.275,0.2,0.065,0.092,0.0385,0.0235,0.027
id_002456,train,7.5,I,0.235,0.17,0.065,0.0625,0.023,0.014,0.022
id_002457,train,6.5,I,0.25,0.18,0.06,0.073,0.028,0.017,0.0225
id_002458,train,6.5,I,0.25,0.185,0.065,0.071,0.027,0.0185,0.0225
id_002459,train,5.5,I,0.2,0.145,0.05,0.036,0.0125,0.008,0.011
id_002460,train,21.5,F,0.585,0.47,0.17,1.099,0.3975,0.2325,0.358
id_002461,test,NA,M,0.445,0.35,0.14,0.5905,0.2025,0.158,0.19
id_002462,valid,14.5,F,0.5,0.385,0.13,0.768,0.2625,0.095,0.27
id_002463,test,NA,M,0.44,0.325,0.08,0.413,0.144,0.1015,0.13
id_002464,valid,18.5,M,0.515,0.405,0.14,0.8505,0.312,0.146,0.315
id_002465,train,12.5,F,0.52,0.405,0.14,0.6915,0.276,0.137,0.215
id_002466,train,12.5,M,0.5,0.39,0.13,0.709,0.275,0.168,0.18
id_002467,train,10.5,M,0.425,0.325,0.12,0.3755,0.142,0.1065,0.105
id_002468,test,NA,M,0.51,0.415,0.14,0.8185,0.3025,0.2155,0.235
id_002469,test,NA,F,0.37,0.275,0.08,0.227,0.093,0.0625,0.07
id_002470,train,14.5,M,0.54,0.415,0.13,0.8245,0.272,0.226,0.24
id_002471,train,12.5,M,0.615,0.475,0.17,1.1825,0.474,0.2895,0.24
id_002472,train,21.5,M,0.565,0.44,0.175,1.122,0.393,0.2,0.375
id_002473,train,15.5,M,0.645,0.515,0.175,1.6115,0.6745,0.384,0.385
id_002474,train,15.5,F,0.615,0.47,0.175,1.2985,0.5135,0.343,0.32
id_002475,train,15.5,M,0.605,0.49,0.145,1.3,0.517,0.3285,0.31
id_002476,train,13.5,F,0.59,0.455,0.165,1.161,0.38,0.2455,0.28
id_002477,test,NA,M,0.645,0.485,0.155,1.489,0.5915,0.312,0.38
id_002478,train,14.5,M,0.57,0.42,0.155,1.008,0.377,0.193,0.34
id_002479,test,NA,F,0.47,0.355,0.18,0.441,0.1525,0.1165,0.135
id_002480,test,NA,F,0.5,0.44,0.155,0.742,0.2025,0.2005,0.2115
id_002481,test,NA,F,0.52,0.425,0.145,0.7,0.207,0.1905,0.24
id_002482,test,NA,M,0.39,0.285,0.095,0.271,0.11,0.06,0.08
id_002483,train,13.5,M,0.52,0.4,0.165,0.8565,0.2745,0.201,0.21
id_002484,train,15.5,F,0.54,0.415,0.175,0.8975,0.275,0.241,0.275
id_002485,train,15.5,M,0.46,0.36,0.135,0.6105,0.1955,0.107,0.235
id_002486,valid,9.5,I,0.355,0.26,0.09,0.1925,0.077,0.038,0.065
id_002487,train,14.5,F,0.49,0.4,0.145,0.6635,0.21,0.1295,0.2515
id_002488,valid,12.5,F,0.63,0.51,0.185,1.235,0.5115,0.349,0.3065
id_002489,train,15.5,M,0.5,0.385,0.145,0.7615,0.246,0.195,0.204
id_002490,train,16.5,M,0.49,0.39,0.135,0.592,0.242,0.096,0.1835
id_002491,train,8.5,M,0.44,0.325,0.115,0.39,0.163,0.087,0.113
id_002492,train,11.5,F,0.515,0.395,0.165,0.7565,0.1905,0.17,0.3205
id_002493,test,NA,F,0.475,0.38,0.145,0.57,0.167,0.118,0.187
id_002494,valid,9.5,I,0.42,0.31,0.1,0.2865,0.115,0.0735,0.085
id_002495,valid,10.5,M,0.4,0.305,0.13,0.2935,0.096,0.0675,0.105
id_002496,train,13.5,M,0.45,0.36,0.16,0.567,0.174,0.1245,0.225
id_002497,train,16.5,F,0.52,0.4,0.13,0.6245,0.215,0.2065,0.17
id_002498,test,NA,M,0.505,0.4,0.155,0.8415,0.2715,0.1775,0.285
id_002499,valid,16.5,M,0.495,0.4,0.14,0.7775,0.2015,0.18,0.25
id_002500,test,NA,M,0.54,0.41,0.145,0.989,0.2815,0.213,0.355
id_002501,valid,13.5,F,0.48,0.39,0.125,0.6905,0.219,0.155,0.2
id_002502,valid,10.5,F,0.33,0.26,0.08,0.2,0.0625,0.05,0.07
id_002503,test,NA,I,0.285,0.21,0.07,0.109,0.044,0.0265,0.033
id_002504,valid,7.5,I,0.3,0.23,0.075,0.127,0.052,0.03,0.0345
id_002505,train,7.5,I,0.31,0.24,0.105,0.2885,0.118,0.065,0.083
id_002506,train,7.5,I,0.34,0.255,0.075,0.18,0.0745,0.04,0.0525
id_002507,valid,8.5,I,0.375,0.3,0.075,0.144,0.059,0.03,0.044
id_002508,valid,8.5,I,0.415,0.325,0.1,0.4665,0.2285,0.1065,0.114
id_002509,valid,7.5,I,0.415,0.315,0.105,0.33,0.1405,0.0705,0.095
id_002510,train,7.5,I,0.415,0.315,0.09,0.3625,0.175,0.0835,0.093
id_002511,test,NA,I,0.42,0.32,0.1,0.34,0.1745,0.05,0.0945
id_002512,test,NA,I,0.425,0.31,0.105,0.365,0.159,0.0825,0.105
id_002513,train,9.5,M,0.465,0.375,0.11,0.5,0.21,0.113,0.1505
id_002514,train,9.5,F,0.465,0.35,0.135,0.6265,0.259,0.1445,0.175
id_002515,train,9.5,I,0.47,0.37,0.11,0.5555,0.25,0.115,0.163
